Value,Synonyms,
author_entity,J.K. Rowling,"narayan, rk narayan"
author_entity,George R.R. Martin,"george martin, grrm"
author_entity,Agatha Christie,"agatha,christie"
author_entity,Chetan Bhagat,"chetan,bhagat"
author_entity,Paulo Coelho,"coelho,paulo"
author_entity,Dan Brown,"brown,daniel brown"
author_entity,Rabindranath Tagore,"tagore,rabindra"
author_entity,R.K. Narayan,"naraya,rk narayan"
author_entity,Ruskin Bond,"bond,ruskin"
author_entity,Khaled Hosseini,"hosseini,khaled"
author_entity,Stephen King,"king,stephen"
author_entity,Jane Austen,"austen,jane"
author_entity,Mark Twain,"twain,mark"
author_entity,Ernest Hemingway,"hemingway,ernest"
author_entity,Leo Tolstoy,"tolstoy,leo"
author_entity,Charles Dickens,"dickens,charles"
author_entity,William Shakespeare,"shakespeare,william"
author_entity,J.R.R. Tolkien,"tolkien,jrr tolkien"
author_entity,Arundhati Roy,"arundhati,roy"
author_entity,Amish Tripathi,"amish,tripathi"
