genre_entity,literary fiction,"lit fic, contemporary fiction, serious fiction"
genre_entity,mystery,"detective, crime, whodunit, sleuth, murder mystery"
genre_entity,thriller,"suspense, psychological thriller, crime thriller, legal thriller"
genre_entity,horror,"scary, ghost stories, supernatural, gothic horror"
genre_entity,romance,"love story, romantic fiction, romantic comedy, chick lit"
genre_entity,fantasy,"epic fantasy, high fantasy, magic, dragons, urban fantasy"
genre_entity,science fiction,"sci-fi, space fiction, futuristic, cyberpunk, dystopian"
genre_entity,historical fiction,"historical novel, past era, period fiction"
genre_entity,adventure,"action, exploration, quest, survival"
genre_entity,drama,"emotional story, realistic fiction, intense fiction"
genre_entity,psychological fiction,"mind games, deep character, introspective fiction"
genre_entity,magical realism,"surreal, whimsical realism, dreamlike stories"
genre_entity,biography,"life story, bio, personal story, real-life account"
genre_entity,autobiography,"self-written life story, memoir by self"
genre_entity,memoir,"life experiences, personal memoir, reflective writing"
genre_entity,self-help,"personal development, motivation, productivity, self improvement"
genre_entity,philosophy,"philosophical, ethics, logic, reasoning"
genre_entity,science,"popular science, scientific, STEM"
genre_entity,business,"management, entrepreneurship, startup, economics"
genre_entity,history,"historical, world history, past events"
genre_entity,psychology,"mental health, behavior, mind science"
genre_entity,travel,"travelogue, journey, world travel"
genre_entity,cooking,"recipe, cookbook, culinary, food writing"
genre_entity,health & fitness,"wellness, exercise, diet, healthy living"
genre_entity,art & design,"visual art, creativity, graphic design, aesthetics"
genre_entity,children’s books,"kids books, picture books, early readers"
genre_entity,middle grade,"tweens, 9-12 age group, middle school fiction"
genre_entity,young adult,"YA, teen fiction, young adult romance, young adult fantasy"
